source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,query_name
GO:BP,GO:0010629,negative regulation of gene expression,1.9623699738583694e-12,True,"""Any process that decreases the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product (protein or RNA)."" [GOC:txnOH-2018]",1680,72,30,21026,0.4166666666666667,0.017857142857142856,query_1,"['GO:0010467', 'GO:0010468', 'GO:0010558']","['PARP3', 'MBD3', 'BAZ2A', 'YTHDC1', 'OAS1', 'ACIN1', 'ERI1', 'ZC3HAV1', 'OAS3', 'FASTKD2', 'FASTKD3', 'MBD2', 'SETDB2', 'TBRG4', 'FASTKD1', 'PARP16', 'MBD1', 'SETDB1', 'YTHDF1', 'HNRNPU', 'TIPARP', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'PARP10', 'YTHDF3', 'YTHDF2', 'ANG', 'FASTKD5']","[['ISS', 'IEA'], ['IBA'], ['ISS', 'ISO'], ['IDA', 'IEA'], ['IMP'], ['IDA'], ['IEA'], ['IDA', 'IBA'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IGI', 'IBA'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA'], ['IEA'], ['IBA', 'TAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IMP', 'IBA'], ['IBA'], ['IMP', 'IBA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0050830,defense response to Gram-positive bacterium,2.108861485084227e-12,True,"""Reactions triggered in response to the presence of a Gram-positive bacterium that act to protect the cell or organism."" [GOC:ai]",122,72,12,21026,0.16666666666666666,0.09836065573770492,query_1,['GO:0042742'],"['RNASE1', 'RNASE7', 'RNASE3', 'RNASE6', 'RNASE8', 'RNASE11', 'RNASE10', 'RNASE9', 'RNASE13', 'ANG', 'RNASE12', 'RNASE4']","[['IBA'], ['IDA', 'IBA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IBA'], ['IBA'], ['IBA'], ['IBA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0044528,regulation of mitochondrial mRNA stability,2.108861485084227e-12,True,"""Any process that modulates the propensity of mitochondrial mRNA molecules to degradation. Includes processes that both stabilize and destabilize mitochondrial mRNAs."" [GOC:al, GOC:jl]",7,72,6,21026,0.08333333333333333,0.8571428571428571,query_1,['GO:0043488'],"['FASTKD2', 'FASTKD3', 'TBRG4', 'FASTKD1', 'FASTK', 'FASTKD5']","[['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:1903311,regulation of mRNA metabolic process,2.108861485084227e-12,True,"""Any process that modulates the frequency, rate or extent of mRNA metabolic process."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]",312,72,16,21026,0.2222222222222222,0.05128205128205128,query_1,"['GO:0016071', 'GO:0051252']","['YTHDC1', 'ACIN1', 'ZC3HAV1', 'FASTKD2', 'FASTKD3', 'SAFB2', 'TBRG4', 'SLTM', 'FASTKD1', 'YTHDF1', 'HNRNPU', 'SAFB', 'FASTK', 'YTHDF3', 'YTHDF2', 'FASTKD5']","[['IDA', 'IBA', 'IEA'], ['IDA'], ['IDA', 'IBA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP'], ['IBA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:MF,GO:0140806,NAD+-protein-aspartate ADP-ribosyltransferase activity,1.900880780409072e-11,True,"""Catalysis of the reaction: L-aspartyl-[protein] + NAD+ = 4-O-(ADP-D-ribosyl)-L-aspartyl-[protein] + nicotinamide."" [PMID:19764761, PMID:25043379, RHEA:54424]",5,73,5,20246,0.0684931506849315,1.0,query_1,['GO:1990404'],"['PARP3', 'PARP2', 'PARP6', 'PARP16', 'PARP1']","[['IDA'], ['IDA'], ['IDA'], ['IDA'], ['IDA']]",Fig3D_VertExpanded
GO:BP,GO:0034655,nucleobase-containing compound catabolic process,3.416320922214443e-11,True,"""The chemical reactions and pathways resulting in the breakdown of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]",535,72,18,21026,0.25,0.03364485981308411,query_1,"['GO:0006139', 'GO:0009056']","['YTHDC1', 'ZC3HAV1', 'OAS2', 'FASTKD2', 'FASTKD3', 'MBD4', 'TBRG4', 'FASTKD1', 'YTHDF1', 'HNRNPU', 'FASTK', 'RNASE2', 'RNASE3', 'RNASE6', 'YTHDF3', 'YTHDF2', 'ANG', 'FASTKD5']","[['IEA'], ['IDA', 'IBA'], ['IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP'], ['IBA', 'IEA'], ['TAS'], ['TAS'], ['TAS'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['TAS'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0010558,negative regulation of macromolecule biosynthetic process,4.9801534921441254e-11,True,"""Any process that decreases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2745,72,35,21026,0.4861111111111111,0.012750455373406194,query_1,"['GO:0009059', 'GO:0009890', 'GO:0010556', 'GO:0010605']","['PARP3', 'CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'OAS1', 'ACIN1', 'ERI1', 'ZC3HAV1', 'OAS3', 'FASTKD2', 'FASTKD3', 'MBD2', 'SETDB2', 'TBRG4', 'FASTKD1', 'PARP16', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'HNRNPU', 'TIPARP', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'PARP10', 'YTHDF3', 'XRCC6', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['ISS', 'TAS', 'IEA'], ['IEA'], ['IBA', 'NAS'], ['ISS', 'ISO'], ['IDA', 'IEA'], ['IMP'], ['IDA'], ['IEA'], ['IDA', 'IBA'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IBA', 'TAS'], ['IDA', 'ISS', 'TAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0042742,defense response to bacterium,5.654109120848506e-11,True,"""Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism."" [GOC:jl]",332,72,15,21026,0.20833333333333334,0.045180722891566265,query_1,"['GO:0009617', 'GO:0098542']","['OAS1', 'OAS3', 'OAS2', 'RNASE1', 'RNASE7', 'RNASE3', 'RNASE6', 'RNASE8', 'RNASE11', 'RNASE10', 'RNASE9', 'RNASE13', 'ANG', 'RNASE12', 'RNASE4']","[['IMP'], ['IMP'], ['IMP'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IBA'], ['IBA'], ['IBA'], ['IBA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0010605,negative regulation of macromolecule metabolic process,7.584587237559579e-11,True,"""Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3157,72,37,21026,0.5138888888888888,0.011719987329743428,query_1,"['GO:0009892', 'GO:0043170', 'GO:0060255']","['PARP3', 'CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'OAS1', 'ACIN1', 'ERI1', 'ZC3HAV1', 'TNKS2', 'OAS3', 'FASTKD2', 'FASTKD3', 'MBD2', 'SETDB2', 'TBRG4', 'FASTKD1', 'PARP16', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'HNRNPU', 'TIPARP', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'TNKS', 'PARP10', 'YTHDF3', 'XRCC6', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['ISS', 'TAS', 'IEA'], ['IEA'], ['IBA', 'NAS'], ['ISS', 'ISO'], ['IDA', 'IEA'], ['IMP'], ['IDA'], ['IEA'], ['IDA', 'IBA'], ['IMP'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['NAS', 'IEA'], ['ISS', 'IBA', 'TAS'], ['IDA', 'ISS', 'TAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IMP'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0009890,negative regulation of biosynthetic process,7.940161028088341e-11,True,"""Any process that stops, prevents, or reduces the rate of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",2813,72,35,21026,0.4861111111111111,0.012442232492001421,query_1,"['GO:0009058', 'GO:0009889', 'GO:0009892']","['PARP3', 'CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'OAS1', 'ACIN1', 'ERI1', 'ZC3HAV1', 'OAS3', 'FASTKD2', 'FASTKD3', 'MBD2', 'SETDB2', 'TBRG4', 'FASTKD1', 'PARP16', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'HNRNPU', 'TIPARP', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'PARP10', 'YTHDF3', 'XRCC6', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['ISS', 'TAS', 'IEA'], ['IEA'], ['IBA', 'NAS'], ['ISS', 'ISO'], ['IDA', 'IEA'], ['IMP'], ['IDA'], ['IEA'], ['IDA', 'IBA'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA'], ['IEA'], ['NAS', 'IEA'], ['ISS', 'IBA', 'TAS'], ['IDA', 'IMP', 'ISS', 'TAS'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:MF,GO:0140803,NAD+-protein-cysteine ADP-ribosyltransferase activity,9.951685159734889e-11,True,"""Catalysis of the reaction: L-cysteinyl-[protein] + NAD+ = H+ + nicotinamide + S-(ADP-D-ribosyl)-L-cysteinyl-[protein]."" [PMID:25043379, RHEA:56612]",6,73,5,20246,0.0684931506849315,0.8333333333333334,query_1,['GO:1990404'],"['PARP12', 'PARP11', 'PARP6', 'PARP8', 'TIPARP']","[['IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,1.1280888535881772e-10,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",3990,72,41,21026,0.5694444444444444,0.010275689223057645,query_1,"['GO:0006139', 'GO:0080090']","['PARP3', 'CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'OAS1', 'ACIN1', 'ZC3HAV1', 'TNKS2', 'OAS3', 'FASTKD2', 'BAZ2B', 'FASTKD3', 'DEK', 'SAFB2', 'MBD2', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'YTHDF1', 'HNRNPU', 'SAFB', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'TNKS', 'MAMSTR', 'PARP10', 'YTHDF3', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2', 'SARNP', 'FASTKD5']","[['IDA', 'ISS', 'TAS', 'IEA'], ['IEA'], ['IBA', 'NAS'], ['ISO', 'NAS'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IDA'], ['IDA', 'IBA'], ['IMP', 'IBA', 'TAS'], ['IDA'], ['IBA', 'IEA'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA'], ['IBA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS'], ['IMP', 'IBA', 'IEA'], ['IBA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['NAS'], ['ISS'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IBA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IMP'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
